"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","EL","Greece",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","ES","Spain",48.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","EUEEA30_21","EU/EEA (without UK)",370.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",521.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","FI","Finland",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","FR","France",114.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","HU","Hungary",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","IE","Ireland",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","IS","Iceland",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","IT","Italy",24.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","LT","Lithuania",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","LV","Latvia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","NL","Netherlands",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","NO","Norway",6.000000000,""
